ride_id,vehicle_type,distance_km,duration_min,avg_speed_kmph,max_speed_kmph,battery_start_percent,battery_end_percent,sudden_stop_count,terrain_elevation_gain_m,temperature_c,rider_age_group,gps_signal_quality,incident_type
42,E-Scooter,2.89,11.18,13.45,24.43,99.8,94.8,0,23.7,22.1,18-25,0.856,Mechanical_Fault
43,E-Bike,3.58,13.11,13.82,21.58,38.5,26.8,1,9.7,24.9,46-60,0.727,Normal
44,E-Scooter,1.36,3.39,15.45,19.87,55.3,52.6,2,22.4,33.1,36-45,0.768,Hard_Braking
45,E-Bike,0.59,2.75,12.24,19.64,35.7,37.6,3,36.9,5.3,46-60,0.81,Hard_Braking
46,E-Scooter,2.28,5.0,19.55,21.73,84.8,71.1,2,6.0,28.3,36-45,0.66,Hard_Braking
47,E-Bike,1.91,10.11,12.52,25.59,35.4,29.5,1,28.1,31.0,36-45,0.951,Normal
48,E-Bike,4.58,18.68,12.54,19.49,21.4,5.8,2,20.7,31.2,36-45,0.818,Battery_Critical
49,E-Scooter,2.0,5.95,17.15,22.16,77.4,71.2,0,1.2,21.1,18-25,0.879,Normal
50,E-Bike,1.18,2.0,14.53,17.59,67.8,66.4,1,33.8,27.1,18-25,0.686,Normal
51,E-Bike,3.07,18.84,12.37,20.93,27.5,7.3,1,29.5,27.9,18-25,0.784,Battery_Critical
52,E-Scooter,6.7,19.52,23.5,25.62,57.9,35.0,0,34.4,20.8,36-45,0.853,Normal
53,E-Scooter,2.15,11.92,13.2,17.88,90.5,84.7,3,19.7,26.4,36-45,0.875,Hard_Braking
54,E-Scooter,1.21,8.35,10.27,18.49,45.1,36.9,2,5.7,23.6,36-45,0.615,Normal
55,E-Scooter,3.27,7.35,21.48,28.31,86.6,81.1,0,1.2,12.2,26-35,0.839,Normal
56,E-Scooter,1.99,4.09,21.22,21.47,55.2,45.4,2,73.5,31.0,36-45,0.92,Normal
57,E-Scooter,5.54,39.64,8.74,18.67,42.0,23.0,1,15.7,8.9,26-35,0.801,Normal
58,E-Bike,10.4,42.44,14.86,17.62,83.6,59.3,1,44.3,26.7,18-25,0.612,Mechanical_Fault
59,E-Bike,0.66,2.0,10.48,11.09,26.0,15.8,0,9.0,21.7,46-60,0.82,Normal
60,E-Scooter,0.36,2.67,14.83,16.24,84.2,83.4,1,24.6,21.0,18-25,0.882,Mechanical_Fault
61,E-Bike,5.52,30.05,11.32,17.03,54.4,44.0,1,10.5,25.2,46-60,0.574,Normal
62,E-Scooter,2.68,13.81,11.08,20.99,49.8,37.9,2,13.3,21.0,46-60,0.82,Hard_Braking
63,E-Scooter,1.56,7.15,16.42,20.54,50.5,47.4,2,3.2,29.8,18-25,0.871,Hard_Braking
64,E-Scooter,1.65,4.82,16.02,18.38,60.0,47.6,1,53.0,18.3,36-45,0.646,Normal
65,E-Scooter,9.01,28.85,18.9,26.32,37.5,7.5,0,53.8,37.8,36-45,0.551,Battery_Critical
66,E-Bike,0.68,5.9,16.96,22.81,88.7,83.9,1,37.3,20.1,36-45,0.809,Normal
67,E-Scooter,1.22,2.0,20.71,25.27,91.4,92.2,4,14.9,33.6,18-25,0.815,Hard_Braking
68,E-Bike,1.15,7.13,13.32,17.49,56.7,47.5,2,6.8,14.5,36-45,0.725,Hard_Braking
69,E-Scooter,2.8,19.09,12.3,19.48,82.8,74.8,2,69.1,21.0,18-25,0.924,Mechanical_Fault
70,E-Bike,3.01,17.28,10.53,14.85,69.1,65.0,0,14.7,17.6,26-35,0.757,Normal
71,E-Scooter,6.3,20.47,19.5,25.63,51.6,33.5,1,37.7,36.4,26-35,0.714,Mechanical_Fault
72,E-Bike,2.58,9.13,15.18,17.9,52.0,41.6,0,2.3,30.3,18-25,0.715,Normal
73,E-Bike,2.46,16.17,9.26,19.75,57.0,51.1,1,18.4,42.0,18-25,0.917,Normal
74,E-Scooter,4.46,8.69,20.57,21.47,75.5,68.6,4,17.8,33.7,18-25,0.673,Hard_Braking
75,E-Scooter,3.9,10.06,21.3,27.62,98.6,88.3,0,18.8,15.2,36-45,0.632,Normal
76,E-Scooter,1.95,16.01,17.54,21.52,45.5,39.5,4,10.2,11.1,18-25,0.649,Improper_Parking
77,E-Bike,3.42,8.8,17.09,21.85,44.4,34.9,1,79.2,19.4,18-25,0.952,Mechanical_Fault
78,E-Scooter,7.07,26.14,17.53,26.29,68.3,53.8,0,25.7,20.7,26-35,0.852,Normal
79,E-Scooter,5.62,9.73,24.75,31.56,32.5,16.2,3,6.1,22.1,18-25,0.561,Hard_Braking
80,E-Scooter,3.01,5.06,17.61,23.1,99.8,92.2,2,11.7,25.7,36-45,0.634,Battery_Critical
81,E-Scooter,3.82,13.71,14.7,18.3,84.5,70.5,1,17.7,9.5,26-35,0.757,Normal
82,E-Scooter,0.3,2.0,16.61,24.68,59.7,59.1,0,11.3,18.7,46-60,0.661,Normal
83,E-Bike,2.59,13.85,10.92,12.73,66.3,55.8,3,6.0,24.9,36-45,0.58,Hard_Braking
84,E-Scooter,4.62,15.51,18.76,25.14,60.0,44.7,2,14.5,27.6,18-25,0.621,Hard_Braking
85,E-Bike,2.02,11.31,10.04,10.72,62.5,58.9,3,1.1,17.9,26-35,0.713,Hard_Braking
86,E-Bike,0.86,2.0,15.0,20.2,84.9,87.3,0,21.4,34.1,18-25,0.926,Normal
87,E-Scooter,4.79,13.48,17.89,23.66,65.1,43.8,1,21.9,19.0,18-25,0.645,Normal
88,E-Scooter,1.94,2.01,15.53,23.43,24.6,21.2,1,20.4,23.5,46-60,0.77,Normal
89,E-Scooter,0.77,7.04,14.95,26.62,26.4,19.5,2,43.8,22.2,18-25,0.647,Normal
90,E-Scooter,3.42,14.08,14.23,21.3,94.4,91.4,3,19.4,3.2,36-45,0.959,Hard_Braking
91,E-Bike,2.2,27.49,5.58,5.64,56.6,52.7,2,4.3,18.7,18-25,0.485,Normal
92,E-Scooter,4.28,8.99,20.86,24.45,91.6,81.8,2,33.6,31.5,46-60,0.76,Battery_Critical
93,E-Bike,4.0,30.93,7.8,16.3,74.0,61.0,1,7.3,19.5,36-45,0.787,Improper_Parking
94,E-Scooter,2.73,13.29,10.6,16.45,70.3,65.0,1,17.9,22.4,46-60,0.825,Normal
95,E-Bike,4.72,20.7,17.73,21.92,27.1,13.6,1,7.3,29.5,26-35,0.825,Battery_Critical
96,E-Scooter,4.31,11.22,21.84,28.08,43.4,28.3,1,2.8,25.3,18-25,0.674,Hard_Braking
97,E-Bike,3.9,18.77,13.28,14.4,33.8,24.4,2,18.8,10.7,18-25,0.662,Mechanical_Fault
98,E-Scooter,4.25,14.03,17.89,22.67,60.7,44.5,1,5.6,4.0,26-35,0.835,Normal
99,E-Scooter,2.29,10.36,19.07,26.65,69.9,60.7,1,12.5,25.1,36-45,0.724,Hard_Braking
100,E-Scooter,2.58,5.5,20.84,25.78,40.3,31.3,1,3.3,10.0,26-35,0.825,Normal
101,E-Scooter,1.6,2.0,21.71,23.42,89.7,81.8,2,160.0,26.0,26-35,0.364,Mechanical_Fault
102,E-Scooter,2.76,7.71,19.95,29.01,94.2,85.5,1,55.1,37.8,26-35,0.608,Normal
103,E-Bike,0.46,2.0,15.19,22.81,66.7,59.7,1,21.7,27.8,26-35,0.806,Normal
104,E-Scooter,3.51,18.78,13.54,19.34,44.9,38.1,0,8.2,31.6,36-45,0.894,Normal
105,E-Bike,0.57,5.87,16.16,23.97,83.4,75.8,2,0.2,23.8,26-35,0.422,Hard_Braking
106,E-Bike,2.68,16.24,16.22,22.54,66.8,56.2,1,5.0,21.6,18-25,0.679,Normal
107,E-Scooter,5.3,11.77,24.13,24.19,49.2,38.0,0,18.3,16.9,36-45,0.5,Battery_Critical
108,E-Scooter,1.6,4.75,18.79,21.45,39.3,41.6,1,57.1,24.4,18-25,0.605,Normal
109,E-Bike,2.13,13.96,11.28,17.85,49.4,48.6,0,11.2,36.1,36-45,0.773,Normal
110,E-Scooter,2.63,7.58,16.73,23.56,75.3,68.7,1,11.0,25.5,18-25,0.915,Normal
111,E-Scooter,0.53,2.0,16.28,21.33,92.5,87.9,3,22.8,23.7,18-25,0.871,Improper_Parking
112,E-Scooter,2.92,7.18,14.99,25.59,61.4,52.1,1,9.6,10.6,18-25,0.835,Normal
113,E-Scooter,1.23,6.27,13.6,17.74,66.7,63.7,2,37.7,22.6,46-60,0.851,Normal
114,E-Scooter,2.61,10.22,12.43,16.99,92.0,80.8,1,31.2,21.8,36-45,0.657,Normal
115,E-Bike,4.38,24.23,10.53,16.11,32.0,25.7,2,30.0,29.8,18-25,0.581,Normal
116,E-Scooter,4.49,8.77,24.68,37.13,46.8,35.6,2,1.0,36.7,26-35,0.687,Hard_Braking
117,E-Scooter,4.49,21.34,13.88,18.38,69.0,59.6,1,54.3,38.3,18-25,0.966,Normal
118,E-Bike,1.11,8.14,13.87,19.59,44.6,37.5,2,9.5,41.0,36-45,0.842,Normal
119,E-Scooter,1.67,4.09,19.63,24.99,69.2,69.1,0,41.0,26.7,36-45,0.81,Normal
120,E-Bike,0.3,7.51,14.05,17.05,39.3,38.4,1,12.1,36.8,18-25,0.728,Battery_Critical
121,E-Bike,2.91,12.85,11.5,14.36,32.7,23.8,3,12.2,25.7,36-45,0.815,Hard_Braking
122,E-Scooter,0.95,5.44,13.4,18.25,35.5,30.9,1,21.2,12.1,36-45,0.847,Normal
123,E-Bike,2.12,5.52,18.97,28.48,46.5,37.3,0,35.4,11.6,18-25,0.952,Normal
124,E-Bike,4.37,12.62,17.9,24.65,27.5,12.8,0,7.3,24.0,26-35,0.669,Battery_Critical
125,E-Scooter,2.6,11.48,16.64,19.24,78.1,72.5,1,29.3,23.9,26-35,0.685,Hard_Braking
126,E-Scooter,2.86,6.6,23.8,31.31,53.0,48.4,2,32.0,28.9,18-25,0.754,Hard_Braking
127,E-Bike,2.16,6.78,17.37,20.71,59.3,52.2,0,3.2,20.8,18-25,0.442,Battery_Critical
128,E-Scooter,0.71,2.32,11.1,18.94,40.5,35.8,1,28.4,22.4,26-35,0.89,Normal
129,E-Scooter,3.19,12.92,16.05,19.17,86.5,78.5,3,66.4,21.2,60+,0.462,Hard_Braking
130,E-Bike,1.64,4.02,16.08,21.42,56.0,50.6,2,8.8,17.4,26-35,0.678,Normal
131,E-Scooter,4.43,15.26,17.98,21.39,38.0,22.8,3,67.7,18.0,60+,0.805,Hard_Braking
132,E-Scooter,1.66,2.0,22.22,31.01,84.5,77.9,0,29.3,27.0,18-25,0.73,Normal
133,E-Scooter,6.31,14.58,19.31,22.49,59.4,39.3,0,33.3,15.0,26-35,0.66,Mechanical_Fault
134,E-Scooter,0.53,2.0,14.16,16.11,85.0,82.7,2,8.0,29.4,36-45,0.661,Normal
135,E-Scooter,3.05,8.45,20.02,24.47,61.3,45.6,1,21.5,39.0,46-60,0.711,Normal
136,E-Bike,2.15,7.74,15.43,18.67,41.0,38.7,0,9.1,32.3,18-25,0.534,Normal
137,E-Bike,2.56,11.02,18.68,29.9,78.2,76.1,0,37.0,19.5,26-35,0.685,Normal
138,E-Bike,7.1,37.05,10.3,16.64,28.9,7.3,0,2.8,12.0,36-45,0.933,Battery_Critical
139,E-Scooter,1.56,4.57,20.69,24.28,63.1,59.8,1,0.9,22.2,26-35,0.735,Normal
140,E-Scooter,3.5,5.87,30.63,34.67,23.8,14.2,1,34.7,17.7,18-25,0.725,Hard_Braking
141,E-Scooter,1.88,15.21,13.1,22.13,29.1,18.0,3,0.5,24.9,46-60,0.794,Hard_Braking
142,E-Bike,1.15,4.21,17.97,21.12,54.1,54.8,2,67.8,24.1,36-45,0.759,Normal
143,E-Scooter,0.78,8.9,7.59,14.82,93.4,82.8,4,47.2,16.1,26-35,0.88,Hard_Braking
144,E-Scooter,1.8,5.15,14.63,19.21,92.8,84.5,3,60.9,19.6,36-45,0.898,Hard_Braking
145,E-Scooter,2.03,5.75,14.28,20.77,50.7,55.4,0,11.2,9.3,46-60,0.915,Normal
146,E-Scooter,4.02,6.25,22.65,27.13,33.8,22.4,1,52.5,20.0,26-35,0.327,Improper_Parking
147,E-Bike,1.95,9.6,13.72,19.66,89.0,82.2,2,66.2,20.3,36-45,0.716,Mechanical_Fault
148,E-Scooter,3.07,4.72,22.17,28.49,59.0,54.0,0,14.1,23.3,26-35,0.877,Normal
149,E-Bike,2.89,5.86,13.64,17.65,99.5,97.6,0,25.9,36.0,46-60,0.651,Normal
150,E-Bike,3.4,11.83,16.14,25.91,85.3,76.5,2,76.8,17.0,36-45,0.722,Hard_Braking
151,E-Bike,8.39,41.01,11.31,20.24,94.2,68.5,1,5.1,16.7,46-60,,Normal
152,E-Scooter,2.44,4.26,25.55,34.38,33.6,34.6,1,44.0,29.4,18-25,0.55,Normal
153,E-Bike,4.57,25.3,10.36,13.8,81.3,59.3,2,2.1,21.4,18-25,0.947,Improper_Parking
154,E-Bike,2.52,20.53,11.62,12.05,89.5,85.0,2,0.7,28.0,18-25,0.778,Hard_Braking
155,E-Scooter,3.08,10.67,14.27,16.73,98.8,90.8,0,8.2,21.6,36-45,0.802,Normal
156,E-Scooter,4.75,9.17,22.17,26.88,49.4,34.8,2,9.8,20.1,18-25,0.635,Hard_Braking
157,E-Bike,4.61,25.2,10.09,13.99,52.7,44.9,0,17.5,31.6,26-35,0.703,Normal
158,E-Bike,1.37,9.22,10.98,16.25,96.8,90.3,5,36.1,24.4,36-45,0.854,Hard_Braking
159,E-Bike,0.66,2.24,14.41,18.72,60.4,57.4,1,15.2,31.3,60+,0.916,Improper_Parking
160,E-Bike,6.35,32.77,13.47,14.43,23.4,0.0,0,11.3,13.5,26-35,0.925,Battery_Critical
161,E-Bike,3.35,15.55,10.34,15.73,66.9,51.2,3,7.3,16.2,18-25,0.868,Normal
162,E-Bike,3.23,23.21,8.63,11.04,77.6,63.7,1,23.8,24.7,26-35,0.683,Normal
163,E-Scooter,6.34,26.51,15.77,22.55,90.7,72.2,2,14.3,37.1,26-35,0.608,Hard_Braking
164,E-Scooter,1.13,2.15,16.12,24.32,34.4,23.3,0,4.9,27.7,26-35,0.548,Normal
165,E-Bike,8.24,27.79,18.66,20.49,45.8,25.6,1,13.0,30.0,26-35,0.823,Normal
166,E-Scooter,2.36,10.02,16.54,22.19,60.5,55.9,2,1.8,2.7,26-35,0.751,Normal
167,E-Scooter,2.99,24.69,7.62,7.71,42.4,26.7,2,2.4,15.4,26-35,0.68,Hard_Braking
168,E-Scooter,0.3,3.92,15.19,22.01,63.2,61.1,0,8.3,29.5,46-60,0.493,Normal
169,E-Scooter,1.92,8.67,19.49,19.66,73.3,68.7,0,5.3,10.2,36-45,0.765,Normal
170,E-Scooter,2.08,15.75,8.54,12.65,49.1,39.1,1,24.1,12.7,36-45,0.544,Normal
171,E-Scooter,2.03,6.59,20.38,21.88,23.0,21.6,0,0.7,41.9,26-35,0.672,Normal
172,E-Bike,1.13,6.36,12.02,18.37,93.0,93.3,1,64.2,37.4,18-25,0.759,Normal
173,E-Scooter,7.3,15.66,25.11,32.05,47.5,32.1,4,15.7,25.3,36-45,0.812,Hard_Braking
174,E-Bike,1.19,4.39,13.95,22.06,91.3,87.0,1,21.5,27.3,36-45,0.886,Normal
175,E-Bike,9.9,39.11,14.85,16.64,66.3,38.6,0,9.8,31.3,36-45,0.698,Improper_Parking
176,E-Bike,2.4,13.36,17.76,21.26,44.3,34.6,2,23.3,35.4,46-60,0.877,Hard_Braking
177,E-Bike,7.56,28.77,15.41,20.09,43.7,25.7,0,1.7,18.5,18-25,0.804,Normal
178,E-Bike,0.67,7.2,18.29,26.12,23.1,12.0,4,18.3,19.0,36-45,0.785,Battery_Critical
179,E-Bike,0.85,9.45,13.72,15.79,49.7,46.3,5,41.5,30.1,36-45,0.63,Hard_Braking
180,E-Bike,8.28,44.23,10.49,14.25,47.1,20.2,1,7.6,27.9,36-45,0.939,Improper_Parking
181,E-Bike,2.46,11.33,15.77,21.74,37.0,32.6,1,4.3,29.4,26-35,0.528,Mechanical_Fault
182,E-Scooter,3.59,9.86,19.95,21.52,72.1,67.4,1,24.9,24.9,36-45,0.353,Improper_Parking
183,E-Scooter,1.5,7.76,18.33,24.94,61.9,60.9,2,0.7,25.0,36-45,0.681,Normal
184,E-Scooter,2.89,7.04,17.58,23.04,97.6,85.3,2,23.6,14.5,46-60,,Hard_Braking
185,E-Scooter,4.09,10.89,19.81,21.92,21.3,9.8,1,12.3,23.4,26-35,0.678,Battery_Critical
186,E-Scooter,2.09,10.91,15.31,19.01,69.6,69.7,0,6.1,32.2,60+,0.368,Improper_Parking
187,E-Scooter,2.25,10.66,17.56,20.11,34.2,27.3,3,7.9,9.0,18-25,0.784,Normal
188,E-Bike,4.72,14.82,19.19,19.59,82.5,66.8,0,11.6,42.0,26-35,0.697,Normal
189,E-Scooter,5.83,27.41,15.89,20.6,30.4,10.9,1,0.7,24.2,46-60,0.864,Battery_Critical
190,E-Scooter,2.12,12.36,19.29,25.2,57.0,51.1,0,4.5,32.9,18-25,0.856,Normal
191,E-Scooter,5.56,24.64,16.37,17.04,67.9,43.2,0,9.4,31.9,46-60,0.955,Normal
192,E-Scooter,4.92,17.88,14.14,21.55,32.3,19.3,2,15.3,28.6,26-35,0.813,Normal
193,E-Bike,1.46,2.0,13.85,19.99,73.7,68.9,1,43.6,30.2,26-35,0.703,Mechanical_Fault
194,E-Scooter,6.93,36.98,11.43,15.85,81.8,60.6,2,23.7,32.1,36-45,,Mechanical_Fault
195,E-Scooter,0.53,2.83,14.74,16.67,98.9,100.0,5,10.5,20.8,26-35,0.841,Hard_Braking
196,E-Bike,3.55,9.53,16.96,17.16,44.7,31.7,2,3.3,35.0,18-25,0.718,Normal
197,E-Bike,1.54,7.5,19.34,24.82,68.4,68.1,3,7.5,10.7,18-25,0.967,Hard_Braking
198,E-Scooter,2.58,7.01,22.4,28.22,41.2,34.4,1,16.0,32.8,26-35,0.669,Hard_Braking
199,E-Scooter,5.51,15.41,18.46,25.35,54.7,40.7,0,7.2,26.7,36-45,0.578,Normal
200,E-Bike,2.45,14.34,11.68,17.49,76.7,69.9,1,16.9,39.8,36-45,0.964,Normal
201,E-Scooter,2.52,8.74,15.6,24.09,40.3,31.7,1,45.9,35.9,26-35,0.935,Normal
202,E-Bike,2.5,10.4,16.39,23.65,72.7,63.5,1,80.8,29.0,18-25,0.789,Mechanical_Fault
203,E-Scooter,3.32,7.23,18.08,20.81,63.4,50.3,1,11.3,19.7,26-35,0.853,Hard_Braking
204,E-Scooter,5.38,54.38,6.35,11.68,20.1,3.4,3,4.3,22.8,46-60,0.89,Battery_Critical
205,E-Bike,6.48,41.23,10.13,14.26,33.0,19.1,0,14.0,25.8,26-35,0.939,Mechanical_Fault
206,E-Scooter,10.93,30.2,18.99,26.42,22.4,0.0,0,7.7,33.0,26-35,0.701,Battery_Critical
207,E-Scooter,0.36,2.0,14.82,22.08,40.1,36.7,1,6.8,34.5,46-60,0.573,Battery_Critical
208,E-Bike,1.14,2.0,13.18,19.56,93.2,98.1,1,3.9,29.2,36-45,0.942,Normal
209,E-Bike,2.57,8.22,9.66,10.53,42.8,30.5,1,33.9,23.2,26-35,0.851,Mechanical_Fault
210,E-Scooter,0.47,2.79,21.6,27.88,45.3,41.6,1,0.4,22.1,36-45,0.87,Normal
211,E-Scooter,2.78,11.1,17.02,24.39,21.4,13.2,1,79.6,15.6,18-25,0.653,Battery_Critical
212,E-Scooter,2.41,9.67,28.52,33.7,78.8,75.2,2,72.5,26.7,26-35,0.294,Improper_Parking
213,E-Scooter,0.79,2.0,22.43,24.58,40.6,34.4,3,18.0,23.0,,0.804,Hard_Braking
214,E-Scooter,3.74,11.53,24.11,27.03,25.7,9.0,2,37.9,25.4,26-35,0.895,Battery_Critical
215,E-Bike,0.48,3.66,13.86,23.36,23.3,22.8,1,3.0,14.9,18-25,0.638,Hard_Braking
216,E-Scooter,3.81,12.62,18.94,26.41,80.1,62.2,4,2.2,30.7,26-35,0.622,Hard_Braking
217,E-Scooter,1.95,9.77,14.68,20.75,97.3,83.0,1,10.7,20.0,60+,0.592,Normal
218,E-Scooter,0.82,2.0,18.48,23.1,44.6,38.0,1,7.3,25.3,26-35,0.555,Normal
219,E-Scooter,13.95,40.73,21.32,21.33,34.6,0.0,2,3.8,21.5,18-25,0.902,Battery_Critical
220,E-Bike,1.27,2.0,16.29,21.48,71.2,64.9,2,34.4,23.3,,0.909,Mechanical_Fault
221,E-Bike,4.49,20.03,12.71,18.32,86.3,71.0,0,7.9,26.9,26-35,0.875,Normal
222,E-Bike,1.65,12.45,10.36,10.46,51.8,49.6,0,47.7,30.4,26-35,0.839,Normal
223,E-Bike,5.19,24.19,16.54,21.22,90.0,74.9,1,36.9,16.0,18-25,0.883,Normal
224,E-Bike,8.27,41.12,11.98,13.09,96.2,73.8,1,39.3,15.2,36-45,0.881,Normal
225,E-Scooter,2.61,9.16,15.4,22.54,84.3,86.5,2,7.4,26.1,,0.598,Normal
226,E-Scooter,10.29,40.16,15.9,20.06,29.0,0.0,3,49.2,26.5,18-25,0.634,Battery_Critical
227,E-Scooter,4.33,15.0,20.86,27.48,92.5,77.3,2,25.7,23.4,26-35,0.657,Hard_Braking
228,E-Bike,12.2,80.0,8.85,10.58,99.4,70.6,0,49.1,11.4,36-45,0.644,Normal
229,E-Scooter,8.22,25.43,16.49,21.48,95.1,71.3,1,40.4,29.6,26-35,0.403,Improper_Parking
230,E-Bike,4.87,31.54,8.73,18.51,29.9,16.5,0,19.5,37.4,18-25,0.928,Normal
231,E-Bike,3.73,22.52,13.14,17.04,63.4,42.7,3,3.2,29.3,18-25,0.819,Hard_Braking
232,E-Scooter,8.01,48.4,10.42,22.88,47.4,25.5,0,0.8,22.4,18-25,0.813,Normal
233,E-Scooter,5.94,22.22,16.14,19.89,53.4,37.3,5,58.4,14.2,18-25,0.826,Hard_Braking
234,E-Scooter,2.95,8.89,17.76,21.99,80.9,67.9,3,10.3,26.3,46-60,0.831,Hard_Braking
235,E-Bike,2.05,7.99,11.76,15.21,47.8,46.5,5,4.1,23.0,36-45,0.837,Hard_Braking
236,E-Bike,2.79,7.03,17.29,24.52,61.8,48.7,0,3.3,20.2,26-35,0.645,Normal
237,E-Scooter,2.95,10.33,18.87,25.55,94.6,88.4,1,9.6,30.7,26-35,0.532,Normal
238,E-Scooter,3.2,11.19,16.9,16.92,22.7,13.8,1,47.6,12.7,36-45,0.531,Battery_Critical
239,E-Bike,3.27,10.89,11.01,15.91,23.7,14.7,2,15.0,21.6,18-25,0.728,Battery_Critical
240,E-Bike,1.14,3.89,15.99,21.87,57.9,51.3,3,87.7,31.1,36-45,0.675,Hard_Braking
241,E-Bike,5.24,17.12,15.69,17.52,46.6,30.4,0,18.1,25.5,18-25,0.894,Battery_Critical
242,E-Scooter,9.33,27.62,18.25,20.59,95.6,64.1,1,10.5,14.2,18-25,0.93,Improper_Parking
243,E-Scooter,7.89,19.15,21.36,23.14,27.8,7.8,3,9.3,19.6,36-45,0.669,Battery_Critical
