trip_id,vehicle_type,distance_km,duration_min,avg_speed_kmph,terrain_elevation_gain_m,temperature_c,humidity_percent,battery_start_percent,rider_weight_kg,traffic_congestion_index,time_of_day,weather_condition,num_stops,energy_consumed_wh
41,E-Bike,6.38,43.1,10.92,6.3,31.1,41.9,96.7,56.0,4.76,Morning,Clear,1,142.71
42,E-Scooter,6.84,22.3,18.34,12.9,19.4,52.5,67.8,66.5,1.81,Evening,Clear,0,139.71
43,E-Scooter,2.43,23.41,13.68,26.9,17.8,63.9,45.4,69.0,9.21,Morning,Windy,1,145.42
44,E-Bike,0.76,10.77,15.27,2.6,30.0,69.8,79.3,68.0,6.25,Evening,Clear,4,43.39
45,E-Scooter,3.35,21.4,17.58,31.5,19.3,74.8,75.1,68.3,5.39,Afternoon,Clear,1,121.46
46,E-Scooter,3.4,15.43,18.24,4.8,22.4,49.0,55.7,78.5,3.22,Morning,Clear,1,103.24
47,E-Scooter,6.97,31.87,17.92,19.6,15.0,39.7,27.6,40.0,8.38,Afternoon,Clear,1,204.34
48,E-Scooter,5.4,26.21,13.85,74.3,18.2,60.4,55.9,61.6,0.84,Morning,Rain,2,211.21
49,E-Scooter,9.4,40.24,15.26,13.7,25.0,49.2,99.9,92.7,4.82,Afternoon,Cloudy,2,226.12
50,E-Scooter,12.18,49.92,18.55,,10.3,45.9,59.5,63.1,9.93,Afternoon,Rain,2,307.74
51,E-Scooter,2.58,23.54,14.72,9.8,32.1,47.4,35.7,81.5,8.96,Evening,Clear,2,135.07
52,E-Bike,2.34,10.44,16.01,41.3,13.3,28.0,67.8,47.1,2.44,Night,Windy,2,104.44
53,E-Bike,2.63,25.74,13.63,35.0,23.6,57.5,59.2,70.8,9.55,Night,Clear,2,113.31
54,E-Scooter,2.09,8.91,22.67,2.0,36.9,73.4,56.2,73.8,4.49,Evening,Clear,1,108.93
55,E-Bike,2.42,19.64,11.93,14.9,21.6,70.3,29.8,80.7,8.24,Afternoon,Clear,5,126.07
56,E-Scooter,4.21,15.75,25.89,13.1,11.2,59.1,28.6,71.6,7.78,Afternoon,Cloudy,1,155.88
57,E-Scooter,5.28,23.2,19.7,13.0,23.2,74.7,45.9,85.8,5.52,Night,Clear,2,147.63
58,E-Scooter,4.43,24.76,14.38,16.7,34.5,47.3,99.0,85.5,7.32,Afternoon,Clear,3,154.83
59,E-Scooter,7.66,28.9,16.25,5.2,23.9,76.7,77.3,54.5,1.23,Evening,Rain,4,183.96
60,E-Bike,1.62,14.99,10.67,23.5,13.9,42.2,88.5,48.8,5.4,Afternoon,Cloudy,4,126.1
61,E-Scooter,5.48,38.12,9.64,31.9,33.7,52.0,31.8,47.5,7.06,Morning,Cloudy,1,172.97
62,E-Bike,1.24,9.63,9.78,6.7,37.8,45.1,20.6,46.8,3.51,Morning,Cloudy,2,73.28
63,E-Bike,3.28,15.56,15.36,43.3,16.0,72.7,40.9,81.1,1.63,Afternoon,Clear,1,141.76
64,E-Bike,12.41,90.0,8.1,11.1,33.6,63.3,67.5,67.3,4.23,Evening,Clear,1,187.54
65,E-Bike,2.25,12.08,19.03,28.7,23.9,39.5,61.8,70.1,6.26,Evening,Rain,1,148.53
66,E-Bike,5.8,29.75,15.71,3.9,14.6,75.6,66.3,70.2,6.75,Evening,Clear,4,158.58
67,E-Scooter,5.3,25.36,20.5,39.7,37.8,63.4,90.0,90.3,6.73,Night,Clear,1,205.29
68,E-Scooter,7.56,30.13,19.62,5.5,35.0,42.1,66.7,72.9,4.66,Night,Clear,2,191.33
69,E-Scooter,4.29,18.96,18.6,17.9,20.3,54.7,50.1,64.3,5.62,Night,Cloudy,2,144.65
70,E-Scooter,0.69,9.98,18.65,6.6,27.7,68.7,91.6,53.5,6.22,Evening,Cloudy,0,86.0
71,E-Scooter,0.6,2.0,21.3,8.3,9.9,65.2,88.1,77.0,0.54,Evening,Cloudy,2,57.61
72,E-Scooter,1.96,16.08,15.16,52.7,3.4,57.3,100.0,60.5,5.76,Evening,Clear,0,163.76
73,E-Scooter,3.41,15.51,16.67,32.1,24.7,79.1,40.0,70.6,4.2,Evening,Clear,1,163.58
74,E-Bike,1.93,18.46,12.31,15.9,35.1,69.0,82.4,77.3,9.68,Evening,Clear,3,89.37
75,E-Bike,0.36,3.44,16.25,39.2,25.3,52.8,40.8,67.5,0.57,Evening,Rain,0,107.55
76,E-Scooter,1.28,16.17,15.66,10.6,8.1,50.3,66.7,69.0,7.1,Morning,Rain,1,136.94
77,E-Scooter,3.38,27.48,10.14,20.1,21.6,82.8,30.4,89.3,4.55,Evening,Cloudy,0,141.66
78,E-Scooter,1.05,13.04,15.33,3.8,25.2,48.8,23.2,67.7,5.91,Afternoon,Clear,3,71.62
79,E-Scooter,4.65,24.91,12.0,12.5,28.6,93.1,58.1,68.2,0.57,Evening,Windy,4,133.71
80,E-Scooter,4.92,17.43,22.46,9.6,22.5,51.0,20.7,40.0,1.88,Evening,Clear,0,126.19
81,E-Scooter,2.59,4.81,23.61,27.6,25.4,54.5,62.5,63.1,0.1,Night,Clear,4,130.26
82,E-Scooter,1.37,7.19,17.77,45.5,14.2,36.8,85.8,56.0,4.73,Morning,Clear,1,133.47
83,E-Scooter,3.47,23.46,11.12,6.0,26.6,55.3,23.5,60.7,3.69,Morning,Clear,3,112.78
84,E-Scooter,1.26,13.83,17.01,22.8,39.3,58.8,68.3,74.7,6.29,Evening,Clear,1,109.52
85,E-Bike,13.06,76.95,11.55,52.3,-2.0,53.0,63.6,40.0,7.3,Morning,Cloudy,1,294.69
86,E-Scooter,3.35,13.66,18.47,74.1,33.6,77.2,62.5,66.6,2.48,Morning,Windy,0,209.53
87,E-Scooter,6.03,29.89,17.72,15.5,18.1,54.5,48.4,80.0,8.5,Evening,Cloudy,0,198.75
88,E-Scooter,6.05,33.61,14.32,,21.6,54.9,40.4,77.3,7.14,Evening,Clear,2,153.17
89,E-Scooter,2.98,12.02,23.51,18.0,24.5,43.2,74.4,41.4,4.78,Evening,Rain,1,126.78
90,E-Scooter,4.23,20.49,17.75,1.5,29.6,71.1,86.7,45.9,3.62,Morning,Windy,3,169.1
91,E-Scooter,2.92,15.1,24.25,19.8,22.4,42.2,95.6,76.7,3.34,Evening,Cloudy,4,161.59
92,E-Bike,13.11,49.58,17.05,41.3,26.6,53.3,82.6,57.8,3.37,Morning,Clear,1,244.85
93,E-Scooter,4.41,18.79,19.86,35.1,37.7,39.8,54.7,66.1,3.83,Morning,Clear,2,168.96
94,E-Scooter,4.6,28.53,11.34,6.5,16.0,59.8,93.0,66.0,1.13,Evening,Clear,2,146.16
95,E-Scooter,4.09,15.34,20.29,8.2,33.6,48.1,65.3,78.0,1.54,Evening,Clear,2,116.42
96,E-Scooter,7.51,51.84,11.33,6.8,25.1,68.4,29.5,91.7,9.6,Morning,Clear,3,218.57
97,E-Bike,5.69,22.63,18.3,64.5,36.3,38.1,98.7,52.3,5.15,Afternoon,Windy,4,199.22
98,E-Bike,0.88,2.0,17.82,22.1,25.9,56.6,29.4,77.8,0.13,Morning,Clear,4,60.72
99,E-Bike,2.52,18.23,15.64,27.5,15.3,57.4,27.5,65.3,9.4,Afternoon,Rain,4,146.04
100,E-Scooter,13.6,51.25,20.5,1.8,32.9,63.3,60.9,72.0,6.9,Evening,Cloudy,3,315.31
101,E-Scooter,6.56,23.91,17.0,0.6,10.8,42.7,58.1,88.7,0.87,Night,Cloudy,4,177.12
102,E-Bike,2.78,13.77,16.86,0.9,21.0,,29.4,79.8,2.56,Night,Clear,2,85.73
103,E-Scooter,0.96,6.7,14.21,6.2,33.6,68.4,38.6,75.8,3.43,Afternoon,Cloudy,0,67.47
104,E-Scooter,1.72,3.96,21.56,5.0,25.2,50.8,84.9,58.7,2.27,Afternoon,Clear,2,100.59
105,E-Bike,4.64,28.12,13.02,68.1,11.9,39.1,31.0,87.2,8.34,Afternoon,Cloudy,1,175.11
106,E-Bike,2.05,19.61,17.48,0.9,25.3,53.1,61.3,52.2,7.63,Night,Cloudy,4,90.93
107,E-Bike,2.71,19.97,13.11,56.0,19.3,26.4,42.9,65.2,8.14,Afternoon,Rain,0,132.49
108,E-Scooter,2.9,15.5,18.59,10.5,16.4,70.8,97.3,82.8,5.53,Afternoon,Cloudy,2,138.27
109,E-Scooter,6.24,28.55,19.85,39.1,19.0,52.3,29.2,78.3,7.67,Afternoon,Cloudy,3,228.57
110,E-Scooter,2.21,9.15,21.16,18.8,27.0,60.5,73.9,56.6,1.15,Afternoon,Clear,3,99.6
111,E-Scooter,4.36,22.28,12.85,10.8,16.7,71.8,31.4,71.7,3.42,Morning,Cloudy,2,113.65
112,E-Scooter,1.19,7.4,15.34,0.5,12.9,55.7,41.1,84.6,6.19,Evening,Rain,1,109.71
113,E-Scooter,2.4,13.18,12.57,31.6,25.8,87.1,93.9,60.3,1.09,Evening,Clear,0,80.05
114,E-Bike,2.99,18.35,15.56,39.4,19.0,46.7,24.2,51.2,4.76,Night,Clear,3,119.54
115,E-Bike,1.77,7.84,13.1,34.4,31.5,62.2,93.9,71.4,0.15,Evening,Clear,2,102.11
116,E-Scooter,4.19,17.0,18.52,40.9,33.4,77.2,94.3,71.3,2.13,Evening,Rain,5,192.75
117,E-Bike,0.8,5.12,17.1,69.4,19.6,25.3,64.5,43.4,1.02,Morning,Cloudy,1,100.99
118,E-Bike,4.31,25.38,14.14,2.1,26.4,28.3,41.9,75.6,6.87,Afternoon,Clear,4,114.51
119,E-Scooter,4.18,13.49,20.95,5.4,14.8,44.7,56.5,50.1,0.29,Afternoon,Clear,3,139.68
120,E-Scooter,3.74,13.9,20.62,2.4,22.9,68.3,96.3,58.6,3.25,Morning,Clear,2,88.97
121,E-Scooter,0.91,7.83,12.66,18.3,24.2,47.0,94.9,69.0,2.22,Morning,Clear,3,77.24
122,E-Bike,5.97,33.0,13.34,2.7,10.1,45.2,79.5,78.1,4.49,Evening,Cloudy,3,131.53
123,E-Scooter,2.64,7.02,22.39,4.5,9.0,59.8,48.8,61.6,0.64,Evening,Windy,2,100.5
124,E-Scooter,12.19,39.19,23.15,6.3,38.0,54.4,76.7,69.7,7.33,Afternoon,Clear,1,261.05
125,E-Bike,0.92,7.23,15.32,0.8,28.8,46.0,79.4,77.3,5.21,Afternoon,Clear,2,68.46
126,E-Scooter,2.56,21.35,22.0,60.8,19.6,54.4,73.9,77.6,9.22,Morning,Rain,3,179.4
127,E-Scooter,3.09,17.28,21.59,3.4,24.3,38.3,97.3,58.9,7.21,Morning,Clear,1,108.18
128,E-Scooter,0.75,7.39,20.81,42.8,21.9,52.0,68.2,75.9,3.18,Morning,Rain,1,115.98
129,E-Scooter,3.91,19.89,18.39,73.6,24.8,55.1,50.2,79.2,5.08,Evening,Rain,1,186.08
130,E-Scooter,6.0,24.72,22.11,66.3,22.8,64.6,38.3,59.3,8.33,Morning,Clear,0,197.05
131,E-Bike,0.61,11.77,13.64,2.1,17.0,50.8,20.2,59.5,6.39,Morning,Clear,3,74.95
132,E-Scooter,9.61,49.6,14.49,13.8,11.7,63.0,85.9,91.0,9.32,Night,Clear,2,245.4
133,E-Scooter,10.22,36.62,22.64,6.2,24.9,38.8,24.8,71.1,8.56,Night,Rain,2,260.34
134,E-Scooter,8.04,38.97,17.0,17.2,4.4,64.4,62.7,68.0,6.12,Evening,Windy,3,223.01
135,E-Scooter,11.66,56.88,13.9,6.9,20.5,49.0,35.9,76.7,5.88,Morning,Clear,4,265.9
136,E-Scooter,2.72,19.56,14.99,79.5,31.8,,94.6,57.0,6.76,Evening,Rain,1,188.0
137,E-Scooter,3.18,14.6,16.04,1.1,17.9,57.6,22.2,63.6,3.69,Night,Windy,3,120.48
138,E-Bike,2.96,14.86,14.38,1.8,21.9,66.8,86.8,50.7,1.25,Evening,Rain,2,77.93
139,E-Scooter,7.34,32.83,16.14,56.0,21.5,52.4,59.0,76.3,3.84,Evening,Clear,1,225.69
140,E-Scooter,4.31,15.3,18.63,0.2,28.9,74.5,88.3,90.9,1.0,Afternoon,Rain,0,121.48
141,E-Scooter,3.94,16.72,20.91,27.3,26.4,63.7,99.1,67.9,2.98,Morning,Windy,0,171.92
142,E-Scooter,7.6,30.11,22.03,32.7,32.3,33.4,21.1,57.8,5.82,Morning,Rain,1,233.62
143,E-Scooter,1.21,12.49,17.42,8.3,16.4,51.5,46.1,60.4,4.44,Evening,Clear,3,82.94
144,E-Bike,2.49,13.04,12.96,7.0,21.9,37.7,67.2,81.5,4.03,Evening,Clear,2,90.14
145,E-Scooter,3.85,49.11,5.0,64.2,33.2,66.5,54.1,57.8,2.51,Morning,Cloudy,4,171.81
146,E-Scooter,2.82,16.62,18.48,38.0,23.1,44.7,83.3,73.1,6.62,Afternoon,Clear,3,142.02
147,E-Bike,0.8,6.15,13.41,83.8,25.4,20.9,53.1,80.3,4.25,Night,Cloudy,1,150.08
148,E-Bike,2.13,16.87,11.06,10.5,37.9,63.7,60.1,66.2,3.48,Morning,Cloudy,1,97.68
149,E-Bike,3.65,13.14,15.6,2.1,33.8,44.7,37.9,74.6,0.8,Morning,Clear,4,121.04
150,E-Bike,1.89,14.85,15.78,0.8,26.0,65.0,45.5,85.3,5.01,Night,Clear,0,105.84
151,E-Bike,1.5,17.79,13.05,6.9,23.1,53.1,42.0,76.9,9.61,Evening,Clear,4,101.32
152,E-Scooter,0.83,5.78,21.57,82.4,30.0,66.6,31.7,65.5,4.04,Evening,Rain,3,181.51
153,E-Scooter,9.65,64.76,10.26,0.2,12.6,59.5,89.6,104.5,4.94,Morning,Clear,1,210.96
154,E-Bike,2.61,17.98,18.2,1.8,32.7,68.7,76.6,70.3,6.12,Evening,Windy,4,121.91
155,E-Scooter,1.55,12.19,20.78,1.3,27.2,31.7,95.2,67.3,7.59,Evening,Windy,1,99.11
156,E-Bike,7.09,25.95,17.41,1.5,18.4,50.1,51.8,78.2,2.08,Afternoon,Clear,2,145.22
157,E-Scooter,4.33,19.4,14.6,13.9,28.7,56.3,58.2,86.1,2.39,Evening,Clear,1,146.13
158,E-Bike,3.84,20.94,13.16,16.2,30.0,30.5,94.2,50.5,5.19,Evening,Clear,2,135.47
159,E-Bike,2.8,17.43,11.43,0.3,16.0,93.3,92.6,72.3,3.25,Evening,Clear,0,83.61
160,E-Scooter,6.03,37.51,13.13,37.7,26.0,28.7,35.9,59.3,9.12,Night,Clear,1,187.72
161,E-Scooter,7.43,31.52,18.62,25.2,24.5,38.5,46.5,70.5,9.12,Evening,Clear,1,251.31
162,E-Scooter,2.9,22.88,11.65,25.1,26.2,45.3,91.4,83.3,8.52,Afternoon,Clear,1,115.0
163,E-Bike,6.41,37.12,11.09,25.7,21.3,79.0,30.2,93.1,4.13,Morning,Clear,3,174.86
164,E-Scooter,1.78,4.81,20.83,63.3,31.5,74.5,56.5,43.8,1.31,Night,Cloudy,2,136.73
165,E-Scooter,3.05,16.09,16.61,21.7,30.2,29.1,25.6,67.0,1.52,Afternoon,Clear,4,122.26
166,E-Scooter,12.24,67.07,12.94,46.4,17.2,83.2,86.7,66.2,7.97,Morning,Clear,2,330.72
167,E-Scooter,1.97,12.96,17.48,13.7,26.6,48.0,52.9,78.7,9.43,Afternoon,Clear,2,109.49
168,E-Scooter,3.38,20.49,16.05,20.0,24.6,64.4,67.9,75.5,6.34,Morning,Cloudy,6,159.69
169,E-Scooter,6.64,29.1,18.04,38.5,17.6,,57.5,80.4,7.3,Morning,Clear,1,212.62
170,E-Scooter,0.88,11.58,17.38,9.6,21.3,45.5,36.4,74.2,7.04,Afternoon,Clear,1,64.82
171,E-Scooter,1.78,12.29,17.66,9.2,13.7,50.3,44.3,72.2,3.99,Night,Rain,2,106.17
172,E-Bike,1.98,17.15,11.51,23.8,27.9,55.7,63.0,60.7,6.04,Afternoon,Cloudy,0,88.38
173,E-Scooter,3.8,26.25,16.15,72.0,27.1,50.5,83.6,64.0,9.48,Afternoon,Cloudy,2,220.89
174,E-Scooter,4.61,18.44,20.43,9.8,20.6,83.3,72.6,65.1,0.13,Evening,Cloudy,1,138.53
175,E-Bike,1.06,10.68,13.95,8.2,27.8,52.5,97.5,61.5,5.53,Morning,Clear,3,53.59
176,E-Bike,1.03,12.84,8.51,33.6,10.3,45.0,55.4,71.3,1.85,Afternoon,Clear,1,110.5
177,E-Scooter,1.84,9.06,20.92,19.6,10.9,36.4,39.4,68.4,2.9,Morning,Clear,0,110.78
178,E-Bike,10.26,90.0,5.0,121.8,24.4,75.9,93.5,64.9,2.26,Evening,Cloudy,3,245.26
179,E-Bike,1.29,18.47,12.75,23.2,24.5,33.6,92.2,60.6,9.93,Afternoon,Clear,3,100.58
180,E-Scooter,5.82,23.99,22.86,19.2,19.7,20.0,90.4,82.2,8.83,Afternoon,Clear,3,177.35
181,E-Scooter,2.21,17.75,13.5,26.9,27.3,29.6,85.1,76.6,6.53,Night,Clear,3,130.31
182,E-Bike,1.64,17.83,10.23,0.5,25.1,51.8,57.6,69.7,6.98,Evening,Clear,1,61.15
183,E-Scooter,4.89,27.06,14.91,7.8,30.6,27.0,91.3,79.3,6.4,Morning,Clear,0,167.67
184,E-Scooter,5.75,32.02,15.12,21.0,26.7,82.8,39.2,65.1,6.35,Morning,Cloudy,4,210.79
185,E-Scooter,5.66,24.32,20.45,84.4,34.6,33.4,57.9,75.1,6.33,Morning,Windy,0,260.94
186,E-Scooter,0.91,9.66,21.59,7.7,25.1,28.5,44.2,75.5,6.94,Evening,Cloudy,2,89.31
187,E-Scooter,1.15,4.57,23.94,2.0,12.9,63.0,92.7,70.7,2.02,Morning,Clear,1,64.73
188,E-Scooter,4.05,26.92,14.52,2.3,15.5,49.8,93.8,77.2,8.71,Afternoon,Cloudy,1,136.64
189,E-Scooter,2.57,21.66,18.49,21.6,20.3,63.2,28.0,53.4,8.77,Evening,Clear,1,143.25
190,E-Scooter,4.2,25.34,14.51,28.4,26.1,48.7,57.4,59.9,6.02,Evening,Windy,3,140.59
191,E-Scooter,4.0,18.95,20.45,38.8,26.4,45.2,79.4,50.8,5.17,Morning,Clear,2,172.02
192,E-Scooter,4.67,19.12,22.17,82.8,18.8,55.9,45.8,75.1,5.16,Afternoon,Clear,0,200.61
193,E-Scooter,4.61,21.52,23.01,20.7,33.4,56.2,94.4,63.8,7.77,Evening,Cloudy,2,162.05
194,E-Scooter,2.05,14.72,21.12,0.1,28.0,37.7,51.2,76.1,9.04,Afternoon,Cloudy,2,146.83
195,E-Scooter,1.0,4.92,23.75,25.0,15.5,31.3,42.7,67.2,2.17,Afternoon,Rain,2,125.96
196,E-Scooter,0.42,11.31,23.58,29.1,38.7,53.8,87.9,72.0,9.34,Night,Clear,2,150.36
197,E-Bike,7.2,45.24,11.36,18.6,25.9,57.1,39.1,79.2,5.76,Evening,Cloudy,4,136.5
198,E-Scooter,3.86,20.2,15.56,69.4,30.8,58.9,93.1,70.3,5.46,Evening,Clear,1,183.99
199,E-Scooter,3.45,21.7,10.6,4.4,32.9,54.2,90.4,74.4,2.55,Evening,Clear,2,114.37
200,E-Bike,0.76,13.39,15.55,13.0,30.5,56.3,50.7,83.1,8.99,Afternoon,Cloudy,1,133.65
201,E-Scooter,1.88,11.71,15.08,6.2,30.7,51.0,24.3,66.1,4.69,Evening,Cloudy,4,110.89
202,E-Scooter,5.59,34.89,14.83,8.8,10.4,27.2,35.5,62.8,9.87,Morning,Clear,2,172.85
203,E-Scooter,2.59,22.11,12.51,35.3,36.5,47.3,60.8,86.1,6.27,Morning,Cloudy,0,135.99
204,E-Scooter,2.97,17.32,20.67,74.9,36.5,20.0,55.9,79.1,8.21,Morning,Windy,1,214.76
205,E-Bike,4.88,23.41,16.83,4.4,25.9,64.4,76.0,86.9,3.95,Afternoon,Cloudy,4,136.11
206,E-Bike,4.78,28.0,14.0,10.7,29.6,38.3,58.1,65.5,6.49,Morning,Clear,0,124.33
207,E-Scooter,2.57,15.59,13.68,56.6,25.0,69.2,87.5,88.5,5.5,Night,Rain,0,140.31
208,E-Scooter,1.96,16.1,18.31,33.0,17.6,57.1,23.2,65.2,8.33,Afternoon,Cloudy,1,117.87
209,E-Scooter,1.61,7.66,17.46,11.5,22.6,46.5,67.6,63.1,0.83,Night,Clear,2,67.84
210,E-Bike,4.44,24.97,11.89,55.2,28.2,31.0,98.6,74.5,2.53,Night,Clear,6,154.04
211,E-Scooter,2.89,15.81,15.09,32.7,23.0,28.6,99.6,88.2,5.36,Night,Clear,3,96.16
212,E-Scooter,7.42,30.23,19.52,22.3,5.5,84.1,26.7,78.6,6.74,Evening,Clear,3,236.43
213,E-Scooter,1.49,12.28,15.4,15.7,14.9,55.2,93.4,63.4,6.84,Night,Clear,1,112.85
214,E-Bike,1.63,13.43,14.61,64.1,17.6,57.5,78.8,72.2,7.11,Evening,Rain,3,150.43
215,E-Scooter,4.19,24.37,14.1,0.5,13.0,50.3,77.0,76.1,7.54,Morning,Rain,2,169.67
216,E-Scooter,4.59,12.03,20.93,49.5,39.2,76.7,25.7,73.9,0.93,Morning,Cloudy,0,195.84
217,E-Scooter,4.9,20.7,17.66,72.4,24.5,67.3,65.2,74.4,3.1,Night,Clear,2,214.03
218,E-Scooter,4.23,12.51,22.63,6.0,20.1,54.1,68.1,70.1,2.57,Night,Clear,5,154.2
219,E-Bike,6.56,34.56,15.28,9.8,18.3,34.6,79.1,72.5,8.1,Morning,Windy,2,157.79
220,E-Scooter,4.07,16.35,15.11,21.8,13.5,62.0,97.8,72.0,0.41,Evening,Clear,3,124.22
221,E-Bike,45.69,18.35,14.05,16.8,21.1,57.8,21.4,78.4,3.5,Afternoon,Windy,0,440.1303553862181
222,E-Scooter,1.01,4.39,14.35,50.4,36.8,75.7,60.0,77.9,1.68,Afternoon,Clear,3,118.71
223,E-Scooter,9.41,45.08,16.43,6.4,33.1,62.8,23.7,56.1,9.0,Evening,Windy,1,227.17
224,E-Bike,0.48,8.45,6.26,3.6,32.3,59.3,62.3,64.5,4.74,Night,Clear,1,37.49
225,E-Scooter,0.59,6.24,11.82,8.8,19.6,52.0,20.5,63.8,3.26,Night,Rain,3,43.44
226,E-Scooter,1.99,20.8,10.13,39.5,35.1,55.3,42.6,52.6,9.75,Afternoon,Cloudy,3,129.17
227,E-Bike,1.36,7.97,14.83,18.7,25.2,58.6,87.5,56.5,1.19,Morning,Cloudy,1,69.06
228,E-Scooter,2.6,28.0,8.46,67.3,12.1,41.8,87.6,73.9,7.17,Morning,Clear,2,137.52
229,E-Scooter,4.85,26.31,16.54,21.4,21.2,51.6,47.1,80.5,4.97,Afternoon,Clear,3,154.63
230,E-Scooter,0.89,13.23,27.87,7.7,18.6,29.9,65.7,92.6,9.49,Afternoon,Cloudy,2,110.61
231,E-Bike,4.62,30.01,14.16,4.2,10.7,61.6,83.5,46.0,9.38,Evening,Clear,3,130.26
